Threshold-Percentage Combination,Correct Count
100 at 5%,22
100 at 10%,22
100 at 15%,22
100 at 20%,22
100 at 25%,21
100 at 30%,22
100 at 40%,25
100 at 50%,30
100 at 60%,31
100 at 70%,26
100 at 80%,26
200 at 5%,30
200 at 10%,31
200 at 15%,33
200 at 20%,33
200 at 25%,34
200 at 30%,34
200 at 40%,33
200 at 50%,29
200 at 60%,28
200 at 70%,26
200 at 80%,25
250 at 5%,36
250 at 10%,35
250 at 15%,35
250 at 20%,36
250 at 25%,36
250 at 30%,34
250 at 40%,31
250 at 50%,27
250 at 60%,25
250 at 70%,23
250 at 80%,23
275 at 5%,34
275 at 10%,34
275 at 15%,35
275 at 20%,36
275 at 25%,35
275 at 30%,30
275 at 40%,28
275 at 50%,27
275 at 60%,24
275 at 70%,23
275 at 80%,23
300 at 5%,34
300 at 10%,37
300 at 15%,37
300 at 20%,33
300 at 25%,33
300 at 30%,30
300 at 40%,28
300 at 50%,26
300 at 60%,23
300 at 70%,23
300 at 80%,23
325 at 5%,36
325 at 10%,37
325 at 15%,36
325 at 20%,33
325 at 25%,32
325 at 30%,30
325 at 40%,27
325 at 50%,26
325 at 60%,23
325 at 70%,23
325 at 80%,23
350 at 5%,37
350 at 10%,36
350 at 15%,37
350 at 20%,32
350 at 25%,32
350 at 30%,29
350 at 40%,27
350 at 50%,25
350 at 60%,23
350 at 70%,23
350 at 80%,23
355 at 5%,37
355 at 10%,36
355 at 15%,37
355 at 20%,32
355 at 25%,31
355 at 30%,29
355 at 40%,27
355 at 50%,25
355 at 60%,23
355 at 70%,23
355 at 80%,23
360 at 5%,36
360 at 10%,37
360 at 15%,37
360 at 20%,32
360 at 25%,31
360 at 30%,29
360 at 40%,27
360 at 50%,25
360 at 60%,23
360 at 70%,23
360 at 80%,23
365 at 5%,36
365 at 10%,38
365 at 15%,36
365 at 20%,31
365 at 25%,31
365 at 30%,29
365 at 40%,27
365 at 50%,25
365 at 60%,23
365 at 70%,23
365 at 80%,23
370 at 5%,36
370 at 10%,38
370 at 15%,36
370 at 20%,31
370 at 25%,31
370 at 30%,29
370 at 40%,27
370 at 50%,25
370 at 60%,23
370 at 70%,23
370 at 80%,23
375 at 5%,36
375 at 10%,38
375 at 15%,35
375 at 20%,31
375 at 25%,30
375 at 30%,29
375 at 40%,26
375 at 50%,25
375 at 60%,23
375 at 70%,23
375 at 80%,23
380 at 5%,36
380 at 10%,38
380 at 15%,35
380 at 20%,31
380 at 25%,30
380 at 30%,29
380 at 40%,26
380 at 50%,25
380 at 60%,23
380 at 70%,23
380 at 80%,23
385 at 5%,37
385 at 10%,37
385 at 15%,35
385 at 20%,31
385 at 25%,30
385 at 30%,29
385 at 40%,26
385 at 50%,25
385 at 60%,23
385 at 70%,23
385 at 80%,23
390 at 5%,37
390 at 10%,37
390 at 15%,35
390 at 20%,31
390 at 25%,30
390 at 30%,29
390 at 40%,26
390 at 50%,25
390 at 60%,23
390 at 70%,23
390 at 80%,23
395 at 5%,37
395 at 10%,37
395 at 15%,35
395 at 20%,31
395 at 25%,29
395 at 30%,29
395 at 40%,26
395 at 50%,25
395 at 60%,23
395 at 70%,23
395 at 80%,23
400 at 5%,36
400 at 10%,37
400 at 15%,35
400 at 20%,31
400 at 25%,29
400 at 30%,29
400 at 40%,26
400 at 50%,24
400 at 60%,23
400 at 70%,23
400 at 80%,23
425 at 5%,37
425 at 10%,36
425 at 15%,33
425 at 20%,31
425 at 25%,29
425 at 30%,28
425 at 40%,25
425 at 50%,24
425 at 60%,23
425 at 70%,23
425 at 80%,23
450 at 5%,36
450 at 10%,36
450 at 15%,33
450 at 20%,31
450 at 25%,27
450 at 30%,27
450 at 40%,25
450 at 50%,24
450 at 60%,23
450 at 70%,23
450 at 80%,23
475 at 5%,36
475 at 10%,36
475 at 15%,32
475 at 20%,30
475 at 25%,27
475 at 30%,27
475 at 40%,25
475 at 50%,24
475 at 60%,23
475 at 70%,22
475 at 80%,22
500 at 5%,35
500 at 10%,34
500 at 15%,32
500 at 20%,30
500 at 25%,27
500 at 30%,26
500 at 40%,24
500 at 50%,23
500 at 60%,22
500 at 70%,22
500 at 80%,22
600 at 5%,32
600 at 10%,30
600 at 15%,28
600 at 20%,27
600 at 25%,26
600 at 30%,26
600 at 40%,24
600 at 50%,22
600 at 60%,22
600 at 70%,22
600 at 80%,22
700 at 5%,28
700 at 10%,27
700 at 15%,26
700 at 20%,25
700 at 25%,24
700 at 30%,24
700 at 40%,22
700 at 50%,22
700 at 60%,22
700 at 70%,22
700 at 80%,22
800 at 5%,26
800 at 10%,26
800 at 15%,24
800 at 20%,23
800 at 25%,23
800 at 30%,23
800 at 40%,22
800 at 50%,22
800 at 60%,22
800 at 70%,21
800 at 80%,21
